Direction,sender,To,Time (UTC),Time (local),Message,Profile,Origin path,Is deleted,Label,line_number,suspicion_score,is_suspicious
Outgoing,Cody Perez,Michael Smith,01/15/2025 21:11,01/16/2025 05:11,assignment siap?,,,False,normal,19,0.3127079260305171,False
Outgoing,Michael Perez,Jordan Gomez,01/02/2025 05:35,01/02/2025 13:35,å°æ¯,,,False,drug,20,0.3127079260305171,False
Outgoing,Kristin Baird,Kelly Wu,01/05/2025 08:32,01/05/2025 16:32,line clear,,,False,drug,21,0.3127079260305171,False
Outgoing,Christine Duncan,Oscar Blanchard,01/19/2025 16:08,01/20/2025 00:08,jalan-jalan,,,False,normal,22,0.3127079260305171,False
Incoming,Sharon Jackson,Janet Allen,01/03/2025 22:29,01/04/2025 06:29,paket,,,False,drug,23,0.3127079260305171,False
Outgoing,Alicia Gillespie,Brandon Love,01/16/2025 15:18,01/16/2025 23:18,game tonight,,,False,normal,24,0.3127079260305171,False
Incoming,Glenn Dunn,Lisa Gillespie,01/09/2025 00:46,01/09/2025 08:46,syabu,,,False,drug,25,0.4991575369830738,True
Incoming,Rachel Fuller,Jessica Jenkins,01/05/2025 23:00,01/06/2025 07:00,one g,,,False,drug,26,0.3127079260305171,False
Incoming,Becky Woods,Joseph Gregory,01/12/2025 16:43,01/13/2025 00:43,football match best,,,False,normal,27,0.3127079260305171,False
Incoming,Joseph Barron,Summer Cisneros,01/02/2025 11:56,01/02/2025 19:56,ç½ç²,,,False,drug,28,0.3127079260305171,False
Outgoing,Michael Huynh Jr.,Karen Roman,01/03/2025 12:35,01/03/2025 20:35,ubat kuat,,,False,drug,29,0.3127079260305171,False
Outgoing,Michelle Davis,Cynthia Robinson,01/16/2025 19:49,01/17/2025 03:49,lunch break,,,False,normal,30,0.3127079260305171,False
Outgoing,Martha Hernandez,Angel Hale,01/02/2025 20:51,01/03/2025 04:51,ç½ç²,,,False,drug,31,0.3127079260305171,False
Outgoing,Deanna Rivera,Katie Simpson,01/05/2025 08:58,01/05/2025 16:58,ubat kuat,,,False,drug,32,0.3127079260305171,False
Outgoing,Dana Gibson,Kayla Hernandez,01/18/2025 12:15,01/18/2025 20:15,game tonight,,,False,normal,33,0.3127079260305171,False
Incoming,Scott Beck,Joshua Farmer,01/07/2025 17:05,01/08/2025 01:05,line clear,,,False,drug,34,0.3127079260305171,False
Incoming,Cory West,Christopher Vasquez,01/21/2025 05:22,01/21/2025 13:22,later go movie,,,False,normal,35,0.3127079260305171,False
Outgoing,Jennifer Bautista,Ian Williams,01/13/2025 16:16,01/14/2025 00:16,assignment siap?,,,False,normal,36,0.3127079260305171,False
Incoming,John Diaz,Marie Davis,01/05/2025 23:30,01/06/2025 07:30,syabu,,,False,drug,37,0.4991575369830738,True
Outgoing,Scott Mccann,Mark Bennett,01/17/2025 08:36,01/17/2025 16:36,see you at mall,,,False,normal,38,0.3127079260305171,False
Outgoing,Yolanda Barker,Laura Wilson,01/09/2025 11:06,01/09/2025 19:06,smoke,,,False,drug,39,0.3127079260305171,False
Outgoing,Michael Russell,Sarah Wilson PhD,01/10/2025 13:13,01/10/2025 21:13,family dinner,,,False,normal,40,0.3127079260305171,False
Outgoing,Teresa Rose,Christopher Nelson,01/21/2025 15:34,01/21/2025 23:34,on the way,,,False,normal,41,0.3127079260305171,False
Incoming,Michael Wright DDS,Katherine Luna,01/06/2025 20:55,01/07/2025 04:55,line clear,,,False,drug,42,0.3127079260305171,False
Incoming,Jessica Stokes,Dr. Julie Ortiz,01/02/2025 17:33,01/03/2025 01:33,pil kuda,,,False,drug,43,0.3127079260305171,False
Outgoing,Dr. Diane Dixon,Bradley Hanson,01/12/2025 07:36,01/12/2025 15:36,jom makan,,,False,normal,44,0.3127079260305171,False
Incoming,Chase Hampton,Stephanie Sanchez,01/18/2025 09:20,01/18/2025 17:20,later go movie,,,False,normal,45,0.3127079260305171,False
Outgoing,David Williams,Wendy Barber,01/18/2025 06:55,01/18/2025 14:55,see you at mall,,,False,normal,46,0.3127079260305171,False
Outgoing,Natalie Miller,Rebecca Cherry,01/16/2025 18:55,01/17/2025 02:55,on the way,,,False,normal,47,0.3127079260305171,False
Outgoing,Robert Kane,Lawrence Hurst,01/20/2025 19:06,01/21/2025 03:06,assignment siap?,,,False,normal,48,0.3127079260305171,False
Incoming,Thomas Cook,Jackson Carey,01/20/2025 03:03,01/20/2025 11:03,jom makan,,,False,normal,49,0.3127079260305171,False
Outgoing,Matthew Aguilar,Jennifer Beltran,01/21/2025 11:39,01/21/2025 19:39,meeting at 3pm,,,False,normal,50,0.3127079260305171,False
Outgoing,Johnny Johnson,Vincent Brown,01/05/2025 04:52,01/05/2025 12:52,half g,,,False,drug,51,0.3127079260305171,False
Outgoing,Veronica Glenn,Melissa Daugherty,01/13/2025 10:56,01/13/2025 18:56,see you at mall,,,False,normal,52,0.3127079260305171,False
Outgoing,Michael Taylor,Matthew Donaldson,01/19/2025 20:48,01/20/2025 04:48,ok see you tomorrow,,,False,normal,53,0.3127079260305171,False
Incoming,Marcus Doyle,James Short,01/08/2025 23:43,01/09/2025 07:43,pil kuda,,,False,drug,54,0.3127079260305171,False
Incoming,Ronald Bennett,Katherine Clark,01/14/2025 00:48,01/14/2025 08:48,apa khabar?,,,False,normal,55,0.3127079260305171,False
Incoming,Jesus King,Jessica Wood,01/06/2025 04:21,01/06/2025 12:21,line clear,,,False,drug,56,0.3127079260305171,False
Outgoing,Regina Ramirez,Rachel Hobbs,01/10/2025 18:02,01/11/2025 02:02,family dinner,,,False,normal,57,0.3127079260305171,False
Outgoing,Theresa Ward,James Hall,01/06/2025 02:35,01/06/2025 10:35,port biasa,,,False,drug,58,0.3127079260305171,False
Outgoing,Seth Riley,Chad Diaz,01/19/2025 20:40,01/20/2025 04:40,drive safe,,,False,normal,59,0.3127079260305171,False
Outgoing,Katelyn Jimenez,Melissa Stewart,01/06/2025 03:54,01/06/2025 11:54,check line,,,False,drug,60,0.3127079260305171,False
Incoming,Ryan Smith,Danielle Saunders,01/11/2025 03:11,01/11/2025 11:11,apa khabar?,,,False,normal,61,0.3127079260305171,False
Outgoing,Cassandra Phillips,Derrick Tucker,01/19/2025 23:18,01/20/2025 07:18,good night,,,False,normal,62,0.3127079260305171,False
Incoming,Pamela Rodriguez,Jennifer Calderon,01/10/2025 21:22,01/11/2025 05:22,drive safe,,,False,normal,63,0.3127079260305171,False
Outgoing,Russell Young,David Kennedy,01/03/2025 18:56,01/04/2025 02:56,ubat kuat,,,False,drug,64,0.3127079260305171,False
Outgoing,Lisa Bowman,Malik Garcia,01/16/2025 19:21,01/17/2025 03:21,apa khabar?,,,False,normal,65,0.3127079260305171,False
Incoming,Tamara Strickland,Robin Riddle,01/07/2025 08:08,01/07/2025 16:08,port biasa,,,False,drug,66,0.3127079260305171,False
Outgoing,John Dunlap,Sarah Riley,01/17/2025 05:27,01/17/2025 13:27,see you at mall,,,False,normal,67,0.3127079260305171,False
Outgoing,David Garcia,Jeanne Ayala,01/07/2025 07:30,01/07/2025 15:30,ice,,,False,drug,68,0.4681264086466392,True
Incoming,Jennifer Murray,Meghan Davis,01/20/2025 21:04,01/21/2025 05:04,ok see you tomorrow,,,False,normal,69,0.3127079260305171,False
Incoming,Evan Rodriguez,David Bentley,01/08/2025 09:08,01/08/2025 17:08,ice,,,False,drug,70,0.4681264086466392,True
Outgoing,Brandon Allen,Valerie Lindsey,01/10/2025 06:32,01/10/2025 14:32,family dinner,,,False,normal,71,0.3127079260305171,False
Outgoing,Timothy Sanders,Laura Stuart,01/06/2025 20:26,01/07/2025 04:26,pil kuda,,,False,drug,72,0.3127079260305171,False
Incoming,Mario Porter,Brandy Scott,01/22/2025 04:06,01/22/2025 12:06,good night,,,False,normal,73,0.3127079260305171,False
Outgoing,Melissa Jackson,Tammy Wu,01/13/2025 03:14,01/13/2025 11:14,lunch break,,,False,normal,74,0.3127079260305171,False
Outgoing,Susan Cervantes,Susan Riley,01/20/2025 17:18,01/21/2025 01:18,football match best,,,False,normal,75,0.3127079260305171,False
Outgoing,Jessica Olson,Brandon Ball,01/21/2025 13:53,01/21/2025 21:53,lunch break,,,False,normal,76,0.3127079260305171,False
Incoming,Joseph Russell,Richard Ward,01/11/2025 14:29,01/11/2025 22:29,lunch break,,,False,normal,77,0.3127079260305171,False
Outgoing,Amanda Johnson,Jennifer Miranda,01/03/2025 02:29,01/03/2025 10:29,barang ori,,,False,drug,78,0.4991575369830738,True
Incoming,Joshua Phillips,Dylan Taylor,01/05/2025 17:00,01/06/2025 01:00,line clear,,,False,drug,79,0.3127079260305171,False
Outgoing,Justin Phillips,Dr. Rebecca Turner,01/06/2025 00:57,01/06/2025 08:57,å°æ¯,,,False,drug,80,0.3127079260305171,False
Incoming,Jonathan Wilson,Mrs. Judy Wilson,01/13/2025 00:25,01/13/2025 08:25,good night,,,False,normal,81,0.3127079260305171,False
Outgoing,Michael Downs,Joshua Terry,01/07/2025 15:34,01/07/2025 23:34,gram,,,False,drug,82,0.3127079260305171,False
Outgoing,Michelle Lowe,Kevin Reed,01/22/2025 14:09,01/22/2025 22:09,apa khabar?,,,False,normal,83,0.3127079260305171,False
Incoming,Paul Evans,Michelle Little,01/04/2025 19:32,01/05/2025 03:32,ç«,,,False,drug,84,0.3127079260305171,False
Outgoing,William Aguilar,Cheryl Powell,01/07/2025 16:31,01/08/2025 00:31,line clear,,,False,drug,85,0.3127079260305171,False
Incoming,Susan Brown,Kevin Smith,01/05/2025 17:55,01/06/2025 01:55,rehab tak?,,,False,drug,86,0.3127079260305171,False
Outgoing,Denise Kim,Jason Knox,01/05/2025 06:15,01/05/2025 14:15,ice,,,False,drug,87,0.4681264086466392,True
Incoming,Jason Hall,Aaron Roman,01/05/2025 20:34,01/06/2025 04:34,paket,,,False,drug,88,0.3127079260305171,False
Incoming,Rebecca Browning,Alan Leonard,01/11/2025 19:08,01/12/2025 03:08,football match best,,,False,normal,89,0.3127079260305171,False
Outgoing,David Webb,Tyler Warren,01/02/2025 19:00,01/03/2025 03:00,ice,,,False,drug,90,0.4681264086466392,True
Outgoing,Courtney Anderson,John Gibson,01/13/2025 07:20,01/13/2025 15:20,working late,,,False,normal,91,0.3127079260305171,False
Incoming,Thomas Fletcher,Lawrence Rodriguez,01/03/2025 08:00,01/03/2025 16:00,pil kuda,,,False,drug,92,0.3127079260305171,False
Incoming,James Benton,Frederick Gonzalez,01/04/2025 03:40,01/04/2025 11:40,one g,,,False,drug,93,0.3127079260305171,False
Incoming,Cynthia Brooks,Lauren Collins,01/11/2025 06:26,01/11/2025 14:26,holiday plan,,,False,normal,94,0.3127079260305171,False
Incoming,Brittany Chaney,Julie Anderson,01/11/2025 03:33,01/11/2025 11:33,good night,,,False,normal,95,0.3127079260305171,False
Incoming,Jose Young,Derrick Allison,01/05/2025 22:12,01/06/2025 06:12,å°æ¯,,,False,drug,96,0.3127079260305171,False
Outgoing,Nathan Palmer PhD,Jessica Snyder,01/08/2025 01:10,01/08/2025 09:10,syabu,,,False,drug,97,0.4991575369830738,True
Incoming,Wendy Edwards,Christopher Wright,01/04/2025 20:04,01/05/2025 04:04,syabu,,,False,drug,98,0.4991575369830738,True
Incoming,Yolanda Huynh,Jose Sherman,01/15/2025 20:15,01/16/2025 04:15,lunch break,,,False,normal,99,0.3127079260305171,False
Incoming,Alexandra May,Alex Lopez MD,01/21/2025 06:44,01/21/2025 14:44,good night,,,False,normal,100,0.3127079260305171,False
Incoming,Katherine Townsend,Ariana Pham,01/14/2025 13:47,01/14/2025 21:47,apa khabar?,,,False,normal,101,0.3127079260305171,False
Incoming,Edward Leonard,Dr. John Cooper,01/16/2025 11:26,01/16/2025 19:26,ok see you tomorrow,,,False,normal,102,0.3127079260305171,False
Incoming,Albert Carter,Juan Mckee,01/16/2025 23:13,01/17/2025 07:13,lunch break,,,False,normal,103,0.3127079260305171,False
Incoming,Robert Sutton,David Stone,01/09/2025 13:54,01/09/2025 21:54,ambil barang,,,False,drug,104,0.4991575369830738,True
Incoming,Brandon Brown,Justin Riley,01/11/2025 07:53,01/11/2025 15:53,ok see you tomorrow,,,False,normal,105,0.3127079260305171,False
Incoming,Deanna Brooks,Matthew Parker,01/12/2025 16:57,01/13/2025 00:57,jalan-jalan,,,False,normal,106,0.3127079260305171,False
Outgoing,Debra Matthews,Deborah Diaz,01/01/2025 17:19,01/02/2025 01:19,ç«,,,False,drug,107,0.3127079260305171,False
Outgoing,Vanessa Young,Robert Baxter,01/05/2025 05:43,01/05/2025 13:43,check line,,,False,drug,108,0.3127079260305171,False
Incoming,Lauren Nguyen,Alexander Castro,01/04/2025 02:43,01/04/2025 10:43,å°æ¯,,,False,drug,109,0.3127079260305171,False
Incoming,Melanie Jackson,Sabrina Davila,01/20/2025 15:24,01/20/2025 23:24,holiday plan,,,False,normal,110,0.3127079260305171,False
Outgoing,Keith Kelley,Sandra Cervantes,01/19/2025 10:55,01/19/2025 18:55,see you at mall,,,False,normal,111,0.3127079260305171,False
Incoming,Jonathan Espinoza DDS,Shannon Gallegos,01/09/2025 04:43,01/09/2025 12:43,paket,,,False,drug,112,0.3127079260305171,False
Incoming,Alex Campbell,Stacey Sanders,01/04/2025 16:03,01/05/2025 00:03,stuff,,,False,drug,113,0.4681264086466392,True
Outgoing,Janet Smith,Brian Morton,01/08/2025 13:47,01/08/2025 21:47,port biasa,,,False,drug,114,0.3127079260305171,False
Outgoing,Elizabeth Hill,Jacqueline Walter,01/13/2025 14:51,01/13/2025 22:51,ok see you tomorrow,,,False,normal,115,0.3127079260305171,False
Incoming,Joseph Hughes,Helen Williams,01/15/2025 03:31,01/15/2025 11:31,assignment siap?,,,False,normal,116,0.3127079260305171,False
Outgoing,Meghan Wells,Karen Davis,01/15/2025 02:16,01/15/2025 10:16,family dinner,,,False,normal,117,0.3127079260305171,False
Incoming,Julia Chapman,James Thompson,01/04/2025 02:24,01/04/2025 10:24,è´§ ready,,,False,drug,118,0.3127079260305171,False
Outgoing,Austin Santos,Jacob Sanders,01/04/2025 20:34,01/05/2025 04:34,ice,,,False,drug,119,0.4681264086466392,True
Outgoing,Martha Johnson,Heather Parsons,01/11/2025 12:19,01/11/2025 20:19,jalan-jalan,,,False,normal,120,0.3127079260305171,False
Incoming,Thomas Nelson,Sarah Cole,01/06/2025 20:15,01/07/2025 04:15,line clear,,,False,drug,121,0.3127079260305171,False
Incoming,Bethany Mendez,Michael Duncan,01/03/2025 14:45,01/03/2025 22:45,ç½ç²,,,False,drug,122,0.3127079260305171,False
Outgoing,Terri Morgan,Mike West,01/11/2025 11:47,01/11/2025 19:47,working late,,,False,normal,123,0.3127079260305171,False
Outgoing,Jeremy Deleon,Mark Smith,01/22/2025 06:28,01/22/2025 14:28,see you at mall,,,False,normal,124,0.3127079260305171,False
Incoming,James Paul,Rebecca Meadows,01/11/2025 07:59,01/11/2025 15:59,drive safe,,,False,normal,125,0.3127079260305171,False
Outgoing,Pamela Hernandez,Eric Cole,01/21/2025 23:48,01/22/2025 07:48,drive safe,,,False,normal,126,0.3127079260305171,False
Incoming,Brent Gordon,Anna Williams,01/14/2025 05:42,01/14/2025 13:42,catch up later,,,False,normal,127,0.3127079260305171,False
Outgoing,Bryce Davis,Matthew Martin,01/17/2025 12:14,01/17/2025 20:14,apa khabar?,,,False,normal,128,0.3127079260305171,False
Incoming,Kimberly Rogers DDS,William Miller,01/07/2025 06:43,01/07/2025 14:43,syabu,,,False,drug,129,0.4991575369830738,True
Outgoing,Brian Jones,David Miller,01/17/2025 08:18,01/17/2025 16:18,ok see you tomorrow,,,False,normal,130,0.3127079260305171,False
Incoming,Daniel Harris,Regina Taylor,01/01/2025 21:01,01/02/2025 05:01,paket,,,False,drug,131,0.3127079260305171,False
Outgoing,Jaime Poole,Christine Wilson,01/15/2025 16:15,01/16/2025 00:15,meeting at 3pm,,,False,normal,132,0.3127079260305171,False
Outgoing,Veronica Kelly,Morgan Kelly,01/07/2025 10:20,01/07/2025 18:20,ubat kuat,,,False,drug,133,0.3127079260305171,False
Incoming,Jerome Hayes,Rodney Green,01/20/2025 21:47,01/21/2025 05:47,how are you?,,,False,normal,134,0.3127079260305171,False
Incoming,Kendra Mendoza,Heather Hunter,01/02/2025 10:01,01/02/2025 18:01,port biasa,,,False,drug,135,0.3127079260305171,False
Incoming,Jeffrey Rice,Christopher Francis,01/07/2025 00:02,01/07/2025 08:02,paket,,,False,drug,136,0.3127079260305171,False
Outgoing,Alexandra Davis,Jose Martin,01/16/2025 18:09,01/17/2025 02:09,shopping,,,False,normal,137,0.3127079260305171,False
Incoming,Joshua Morrison,Catherine Buchanan,01/10/2025 17:19,01/11/2025 01:19,assignment siap?,,,False,normal,138,0.3127079260305171,False
Incoming,Mrs. Charlene Martinez,James Gomez,01/15/2025 14:50,01/15/2025 22:50,see you at mall,,,False,normal,139,0.3127079260305171,False
Outgoing,Jack Malone,Mario Mason,01/03/2025 03:56,01/03/2025 11:56,smoke,,,False,drug,140,0.3127079260305171,False
Outgoing,Michelle Nash,Brandon Ellis,01/21/2025 01:09,01/21/2025 09:09,how are you?,,,False,normal,141,0.3127079260305171,False
Outgoing,Tammy Torres,Abigail Snow,01/11/2025 21:26,01/12/2025 05:26,on the way,,,False,normal,142,0.3127079260305171,False
Incoming,Christopher Wyatt,Ian Green,01/19/2025 19:50,01/20/2025 03:50,ok see you tomorrow,,,False,normal,143,0.3127079260305171,False
Incoming,Kara Collins,Gabriel Moore,01/05/2025 10:09,01/05/2025 18:09,å°æ¯,,,False,drug,144,0.3127079260305171,False
Incoming,Gloria Rios,Tiffany Phillips,01/02/2025 01:40,01/02/2025 09:40,port biasa,,,False,drug,145,0.3127079260305171,False
Outgoing,Scott Downs,Jason Butler,01/15/2025 02:59,01/15/2025 10:59,good night,,,False,normal,146,0.3127079260305171,False
Incoming,Patrick Garcia,Brandon Wagner,01/12/2025 00:42,01/12/2025 08:42,family dinner,,,False,normal,147,0.3127079260305171,False
Incoming,Debbie Lopez,Traci Roberts,01/01/2025 20:11,01/02/2025 04:11,ambil barang,,,False,drug,148,0.4991575369830738,True
Incoming,Robert Robertson,Ashley Pena,01/08/2025 17:56,01/09/2025 01:56,ubat kuat,,,False,drug,149,0.3127079260305171,False
Incoming,Brian English,David Fletcher,01/09/2025 21:42,01/10/2025 05:42,smoke,,,False,drug,150,0.3127079260305171,False
Incoming,Jason Oconnor,Colin Pope,01/13/2025 23:35,01/14/2025 07:35,family dinner,,,False,normal,151,0.3127079260305171,False
Outgoing,Carl Ramos,Thomas Klein,01/12/2025 15:09,01/12/2025 23:09,holiday plan,,,False,normal,152,0.3127079260305171,False
Incoming,Nicole Johnston,Derek Hernandez,01/08/2025 13:17,01/08/2025 21:17,gram,,,False,drug,153,0.3127079260305171,False
Outgoing,Cheryl Garrett,Dr. Steven Hutchinson,01/03/2025 00:01,01/03/2025 08:01,paket,,,False,drug,154,0.3127079260305171,False
Outgoing,Nathaniel Davis,Rickey Diaz,01/20/2025 05:05,01/20/2025 13:05,see you at mall,,,False,normal,155,0.3127079260305171,False
Incoming,Tammy Arnold,Kristin Stevens,01/19/2025 20:07,01/20/2025 04:07,working late,,,False,normal,156,0.3127079260305171,False
Outgoing,Felicia Vargas,Robert Daniels,01/22/2025 02:03,01/22/2025 10:03,football match best,,,False,normal,157,0.3127079260305171,False
Outgoing,Trevor Wright,Mark Bryan,01/19/2025 01:31,01/19/2025 09:31,see you at mall,,,False,normal,158,0.3127079260305171,False
Outgoing,Stephanie Lucas,Shawn Rice,01/20/2025 16:09,01/21/2025 00:09,ok see you tomorrow,,,False,normal,159,0.3127079260305171,False
Outgoing,Amy Burke,Angela Duncan,01/14/2025 02:33,01/14/2025 10:33,holiday plan,,,False,normal,160,0.3127079260305171,False
Outgoing,Joshua Oconnor,Tyler Jones,01/15/2025 16:35,01/16/2025 00:35,ok see you tomorrow,,,False,normal,161,0.3127079260305171,False
Outgoing,Julie Miller,Madeline Velasquez,01/10/2025 04:21,01/10/2025 12:21,assignment siap?,,,False,normal,162,0.3127079260305171,False
Incoming,Brian Vaughn,Ryan Reid,01/04/2025 13:38,01/04/2025 21:38,ç½ç²,,,False,drug,163,0.3127079260305171,False
Incoming,Heather Jackson DDS,Margaret Collins,01/10/2025 01:11,01/10/2025 09:11,smoke,,,False,drug,164,0.3127079260305171,False
Outgoing,Wendy Hawkins,Karen Romero,01/21/2025 22:39,01/22/2025 06:39,how are you?,,,False,normal,165,0.3127079260305171,False
Incoming,Richard Martinez,Melanie Wheeler,01/07/2025 14:24,01/07/2025 22:24,paket,,,False,drug,166,0.3127079260305171,False
Outgoing,Krista Brown,Lisa Reeves,01/12/2025 04:13,01/12/2025 12:13,lunch break,,,False,normal,167,0.3127079260305171,False
Outgoing,Patricia Miller,Jennifer Richardson,01/06/2025 08:29,01/06/2025 16:29,check line,,,False,drug,168,0.3127079260305171,False
Outgoing,Daniel Taylor,Sara Gibson,01/11/2025 17:05,01/12/2025 01:05,lunch break,,,False,normal,169,0.3127079260305171,False
Outgoing,Jeff Williams,Robert Jimenez,01/20/2025 11:01,01/20/2025 19:01,jalan-jalan,,,False,normal,170,0.3127079260305171,False
Incoming,Teresa Wilson,Carlos Ellis,01/10/2025 22:27,01/11/2025 06:27,jom makan,,,False,normal,171,0.3127079260305171,False
Outgoing,Margaret Watts,Brittney Vargas,01/13/2025 17:32,01/14/2025 01:32,ok see you tomorrow,,,False,normal,172,0.3127079260305171,False
Outgoing,Timothy White,Eric Shields,01/05/2025 03:29,01/05/2025 11:29,è´§ ready,,,False,drug,173,0.3127079260305171,False
Outgoing,Joanna Thompson,Autumn Pope,01/09/2025 04:58,01/09/2025 12:58,ice,,,False,drug,174,0.4681264086466392,True
Incoming,Ronald Gonzalez,Lori Johnson,01/16/2025 02:06,01/16/2025 10:06,later go movie,,,False,normal,175,0.3127079260305171,False
Incoming,Sean Wilson,George Jones,01/09/2025 15:08,01/09/2025 23:08,syabu,,,False,drug,176,0.4991575369830738,True
Incoming,Brittany Stein DDS,Gene Garcia,01/12/2025 03:23,01/12/2025 11:23,see you at mall,,,False,normal,177,0.3127079260305171,False
Outgoing,Julie Ward,Lisa Murray,01/03/2025 01:29,01/03/2025 09:29,rehab tak?,,,False,drug,178,0.3127079260305171,False
Outgoing,Frank Schneider,Mrs. Haley Campos,01/06/2025 12:15,01/06/2025 20:15,gram,,,False,drug,179,0.3127079260305171,False
Outgoing,Andrew Smith,Kevin Richardson,01/20/2025 14:10,01/20/2025 22:10,working late,,,False,normal,180,0.3127079260305171,False
Outgoing,Natasha Horton DDS,Dr. Kenneth Evans,01/06/2025 12:10,01/06/2025 20:10,paket,,,False,drug,181,0.3127079260305171,False
Outgoing,Dylan Ramirez,George Lamb,01/09/2025 20:06,01/10/2025 04:06,paket,,,False,drug,182,0.3127079260305171,False
Outgoing,Dr. Brandi Hernandez,Nathaniel Miller,01/04/2025 08:23,01/04/2025 16:23,one g,,,False,drug,183,0.3127079260305171,False
Incoming,Brandon Bean,Anthony Smith,01/17/2025 03:53,01/17/2025 11:53,good night,,,False,normal,184,0.3127079260305171,False
Outgoing,Mr. Andrew Garcia III,Billy Thornton,01/01/2025 16:02,01/02/2025 00:02,pil kuda,,,False,drug,185,0.3127079260305171,False
Outgoing,Marcus Holder,James Macdonald,01/05/2025 08:40,01/05/2025 16:40,check line,,,False,drug,186,0.3127079260305171,False
Incoming,Robert Daniel,Heidi Galvan,01/13/2025 06:58,01/13/2025 14:58,how are you?,,,False,normal,187,0.3127079260305171,False
Incoming,Kimberly Barber,Jacqueline Lewis,01/18/2025 18:37,01/19/2025 02:37,ok see you tomorrow,,,False,normal,188,0.3127079260305171,False
Incoming,Daniel White,Timothy Thomas,01/14/2025 11:54,01/14/2025 19:54,lunch break,,,False,normal,189,0.3127079260305171,False
Incoming,Emily Baker,Benjamin Elliott,01/03/2025 17:24,01/04/2025 01:24,stuff,,,False,drug,190,0.4681264086466392,True
Outgoing,Christopher Wagner,Candice Owens MD,01/08/2025 00:05,01/08/2025 08:05,line clear,,,False,drug,191,0.3127079260305171,False
Incoming,Jared Sharp,Lawrence Young DDS,01/10/2025 08:14,01/10/2025 16:14,catch up later,,,False,normal,192,0.3127079260305171,False
Outgoing,Brad Reid,Erin Bartlett,01/11/2025 17:47,01/12/2025 01:47,family dinner,,,False,normal,193,0.3127079260305171,False
Incoming,Michael Weaver,Cody Krueger,01/06/2025 03:24,01/06/2025 11:24,barang ori,,,False,drug,194,0.4991575369830738,True
Outgoing,Mr. Brian Gallagher MD,David Franklin,01/15/2025 19:03,01/16/2025 03:03,jalan-jalan,,,False,normal,195,0.3127079260305171,False
Outgoing,Sarah Kaiser,Theresa Johnson,01/04/2025 04:55,01/04/2025 12:55,rehab tak?,,,False,drug,196,0.3127079260305171,False
Incoming,Laura Morales,Frank Hicks,01/09/2025 08:15,01/09/2025 16:15,syabu,,,False,drug,197,0.4991575369830738,True
Incoming,Tracey Smith,Margaret Smith,01/06/2025 17:59,01/07/2025 01:59,rehab tak?,,,False,drug,198,0.3127079260305171,False
