Direction,From,To,Time (UTC),Time (local),Message,Profile,Origin path,Is deleted,Label
Incoming,Pamela Rodriguez,Jennifer Calderon,01/10/2025 21:22,01/11/2025 05:22,drive safe,,,False,normal
Outgoing,Russell Young,David Kennedy,01/03/2025 18:56,01/04/2025 02:56,ubat kuat,,,False,drug
Outgoing,Lisa Bowman,Malik Garcia,01/16/2025 19:21,01/17/2025 03:21,apa khabar?,,,False,normal
Incoming,Tamara Strickland,Robin Riddle,01/07/2025 08:08,01/07/2025 16:08,port biasa,,,False,drug
Outgoing,John Dunlap,Sarah Riley,01/17/2025 05:27,01/17/2025 13:27,see you at mall,,,False,normal
Outgoing,David Garcia,Jeanne Ayala,01/07/2025 07:30,01/07/2025 15:30,ice,,,False,drug
Incoming,Jennifer Murray,Meghan Davis,01/20/2025 21:04,01/21/2025 05:04,ok see you tomorrow,,,False,normal
Incoming,Evan Rodriguez,David Bentley,01/08/2025 09:08,01/08/2025 17:08,ice,,,False,drug
Outgoing,Brandon Allen,Valerie Lindsey,01/10/2025 06:32,01/10/2025 14:32,family dinner,,,False,normal
Outgoing,Timothy Sanders,Laura Stuart,01/06/2025 20:26,01/07/2025 04:26,pil kuda,,,False,drug
Incoming,Mario Porter,Brandy Scott,01/22/2025 04:06,01/22/2025 12:06,good night,,,False,normal
Outgoing,Melissa Jackson,Tammy Wu,01/13/2025 03:14,01/13/2025 11:14,lunch break,,,False,normal
Outgoing,Susan Cervantes,Susan Riley,01/20/2025 17:18,01/21/2025 01:18,football match best,,,False,normal
Outgoing,Jessica Olson,Brandon Ball,01/21/2025 13:53,01/21/2025 21:53,lunch break,,,False,normal
Incoming,Joseph Russell,Richard Ward,01/11/2025 14:29,01/11/2025 22:29,lunch break,,,False,normal
Outgoing,Amanda Johnson,Jennifer Miranda,01/03/2025 02:29,01/03/2025 10:29,barang ori,,,False,drug
Incoming,Joshua Phillips,Dylan Taylor,01/05/2025 17:00,01/06/2025 01:00,line clear,,,False,drug
Outgoing,Justin Phillips,Dr. Rebecca Turner,01/06/2025 00:57,01/06/2025 08:57,冰毒,,,False,drug
Incoming,Jonathan Wilson,Mrs. Judy Wilson,01/13/2025 00:25,01/13/2025 08:25,good night,,,False,normal
Outgoing,Michael Downs,Joshua Terry,01/07/2025 15:34,01/07/2025 23:34,gram,,,False,drug
Outgoing,Michelle Lowe,Kevin Reed,01/22/2025 14:09,01/22/2025 22:09,apa khabar?,,,False,normal
Incoming,Paul Evans,Michelle Little,01/04/2025 19:32,01/05/2025 03:32,火,,,False,drug
Outgoing,William Aguilar,Cheryl Powell,01/07/2025 16:31,01/08/2025 00:31,line clear,,,False,drug
Incoming,Susan Brown,Kevin Smith,01/05/2025 17:55,01/06/2025 01:55,rehab tak?,,,False,drug
Outgoing,Denise Kim,Jason Knox,01/05/2025 06:15,01/05/2025 14:15,ice,,,False,drug
Incoming,Jason Hall,Aaron Roman,01/05/2025 20:34,01/06/2025 04:34,paket,,,False,drug
Incoming,Rebecca Browning,Alan Leonard,01/11/2025 19:08,01/12/2025 03:08,football match best,,,False,normal
Outgoing,David Webb,Tyler Warren,01/02/2025 19:00,01/03/2025 03:00,ice,,,False,drug
Outgoing,Courtney Anderson,John Gibson,01/13/2025 07:20,01/13/2025 15:20,working late,,,False,normal
Incoming,Thomas Fletcher,Lawrence Rodriguez,01/03/2025 08:00,01/03/2025 16:00,pil kuda,,,False,drug
Incoming,James Benton,Frederick Gonzalez,01/04/2025 03:40,01/04/2025 11:40,one g,,,False,drug
Incoming,Cynthia Brooks,Lauren Collins,01/11/2025 06:26,01/11/2025 14:26,holiday plan,,,False,normal
Incoming,Brittany Chaney,Julie Anderson,01/11/2025 03:33,01/11/2025 11:33,good night,,,False,normal
Incoming,Jose Young,Derrick Allison,01/05/2025 22:12,01/06/2025 06:12,冰毒,,,False,drug
Outgoing,Nathan Palmer PhD,Jessica Snyder,01/08/2025 01:10,01/08/2025 09:10,syabu,,,False,drug
Incoming,Wendy Edwards,Christopher Wright,01/04/2025 20:04,01/05/2025 04:04,syabu,,,False,drug
Incoming,Yolanda Huynh,Jose Sherman,01/15/2025 20:15,01/16/2025 04:15,lunch break,,,False,normal
Incoming,Alexandra May,Alex Lopez MD,01/21/2025 06:44,01/21/2025 14:44,good night,,,False,normal
Incoming,Katherine Townsend,Ariana Pham,01/14/2025 13:47,01/14/2025 21:47,apa khabar?,,,False,normal
Incoming,Edward Leonard,Dr. John Cooper,01/16/2025 11:26,01/16/2025 19:26,ok see you tomorrow,,,False,normal
Incoming,Albert Carter,Juan Mckee,01/16/2025 23:13,01/17/2025 07:13,lunch break,,,False,normal
Incoming,Robert Sutton,David Stone,01/09/2025 13:54,01/09/2025 21:54,ambil barang,,,False,drug
Incoming,Brandon Brown,Justin Riley,01/11/2025 07:53,01/11/2025 15:53,ok see you tomorrow,,,False,normal
Incoming,Deanna Brooks,Matthew Parker,01/12/2025 16:57,01/13/2025 00:57,jalan-jalan,,,False,normal
Outgoing,Debra Matthews,Deborah Diaz,01/01/2025 17:19,01/02/2025 01:19,火,,,False,drug
Outgoing,Vanessa Young,Robert Baxter,01/05/2025 05:43,01/05/2025 13:43,check line,,,False,drug
Incoming,Lauren Nguyen,Alexander Castro,01/04/2025 02:43,01/04/2025 10:43,冰毒,,,False,drug
Incoming,Melanie Jackson,Sabrina Davila,01/20/2025 15:24,01/20/2025 23:24,holiday plan,,,False,normal
Outgoing,Keith Kelley,Sandra Cervantes,01/19/2025 10:55,01/19/2025 18:55,see you at mall,,,False,normal
Incoming,Jonathan Espinoza DDS,Shannon Gallegos,01/09/2025 04:43,01/09/2025 12:43,paket,,,False,drug
Incoming,Alex Campbell,Stacey Sanders,01/04/2025 16:03,01/05/2025 00:03,stuff,,,False,drug
Outgoing,Janet Smith,Brian Morton,01/08/2025 13:47,01/08/2025 21:47,port biasa,,,False,drug
Outgoing,Elizabeth Hill,Jacqueline Walter,01/13/2025 14:51,01/13/2025 22:51,ok see you tomorrow,,,False,normal
Incoming,Joseph Hughes,Helen Williams,01/15/2025 03:31,01/15/2025 11:31,assignment siap?,,,False,normal
Outgoing,Meghan Wells,Karen Davis,01/15/2025 02:16,01/15/2025 10:16,family dinner,,,False,normal
Incoming,Julia Chapman,James Thompson,01/04/2025 02:24,01/04/2025 10:24,货 ready,,,False,drug
Outgoing,Austin Santos,Jacob Sanders,01/04/2025 20:34,01/05/2025 04:34,ice,,,False,drug
Outgoing,Martha Johnson,Heather Parsons,01/11/2025 12:19,01/11/2025 20:19,jalan-jalan,,,False,normal
Incoming,Thomas Nelson,Sarah Cole,01/06/2025 20:15,01/07/2025 04:15,line clear,,,False,drug
Incoming,Bethany Mendez,Michael Duncan,01/03/2025 14:45,01/03/2025 22:45,白粉,,,False,drug
Outgoing,Terri Morgan,Mike West,01/11/2025 11:47,01/11/2025 19:47,working late,,,False,normal
Outgoing,Jeremy Deleon,Mark Smith,01/22/2025 06:28,01/22/2025 14:28,see you at mall,,,False,normal
Incoming,James Paul,Rebecca Meadows,01/11/2025 07:59,01/11/2025 15:59,drive safe,,,False,normal
Outgoing,Pamela Hernandez,Eric Cole,01/21/2025 23:48,01/22/2025 07:48,drive safe,,,False,normal
Incoming,Brent Gordon,Anna Williams,01/14/2025 05:42,01/14/2025 13:42,catch up later,,,False,normal
Outgoing,Bryce Davis,Matthew Martin,01/17/2025 12:14,01/17/2025 20:14,apa khabar?,,,False,normal
Incoming,Kimberly Rogers DDS,William Miller,01/07/2025 06:43,01/07/2025 14:43,syabu,,,False,drug
Outgoing,Brian Jones,David Miller,01/17/2025 08:18,01/17/2025 16:18,ok see you tomorrow,,,False,normal
Incoming,Daniel Harris,Regina Taylor,01/01/2025 21:01,01/02/2025 05:01,paket,,,False,drug
Outgoing,Jaime Poole,Christine Wilson,01/15/2025 16:15,01/16/2025 00:15,meeting at 3pm,,,False,normal
Outgoing,Veronica Kelly,Morgan Kelly,01/07/2025 10:20,01/07/2025 18:20,ubat kuat,,,False,drug
Incoming,Jerome Hayes,Rodney Green,01/20/2025 21:47,01/21/2025 05:47,how are you?,,,False,normal
Incoming,Kendra Mendoza,Heather Hunter,01/02/2025 10:01,01/02/2025 18:01,port biasa,,,False,drug
Incoming,Jeffrey Rice,Christopher Francis,01/07/2025 00:02,01/07/2025 08:02,paket,,,False,drug
Outgoing,Alexandra Davis,Jose Martin,01/16/2025 18:09,01/17/2025 02:09,shopping,,,False,normal
Incoming,Joshua Morrison,Catherine Buchanan,01/10/2025 17:19,01/11/2025 01:19,assignment siap?,,,False,normal
Incoming,Mrs. Charlene Martinez,James Gomez,01/15/2025 14:50,01/15/2025 22:50,see you at mall,,,False,normal
Outgoing,Jack Malone,Mario Mason,01/03/2025 03:56,01/03/2025 11:56,smoke,,,False,drug
Outgoing,Michelle Nash,Brandon Ellis,01/21/2025 01:09,01/21/2025 09:09,how are you?,,,False,normal
Outgoing,Tammy Torres,Abigail Snow,01/11/2025 21:26,01/12/2025 05:26,on the way,,,False,normal
Incoming,Christopher Wyatt,Ian Green,01/19/2025 19:50,01/20/2025 03:50,ok see you tomorrow,,,False,normal
Incoming,Kara Collins,Gabriel Moore,01/05/2025 10:09,01/05/2025 18:09,冰毒,,,False,drug
Incoming,Gloria Rios,Tiffany Phillips,01/02/2025 01:40,01/02/2025 09:40,port biasa,,,False,drug
Outgoing,Scott Downs,Jason Butler,01/15/2025 02:59,01/15/2025 10:59,good night,,,False,normal
Incoming,Patrick Garcia,Brandon Wagner,01/12/2025 00:42,01/12/2025 08:42,family dinner,,,False,normal
Incoming,Debbie Lopez,Traci Roberts,01/01/2025 20:11,01/02/2025 04:11,ambil barang,,,False,drug
Incoming,Robert Robertson,Ashley Pena,01/08/2025 17:56,01/09/2025 01:56,ubat kuat,,,False,drug
Incoming,Brian English,David Fletcher,01/09/2025 21:42,01/10/2025 05:42,smoke,,,False,drug
Incoming,Jason Oconnor,Colin Pope,01/13/2025 23:35,01/14/2025 07:35,family dinner,,,False,normal
Outgoing,Carl Ramos,Thomas Klein,01/12/2025 15:09,01/12/2025 23:09,holiday plan,,,False,normal
Incoming,Nicole Johnston,Derek Hernandez,01/08/2025 13:17,01/08/2025 21:17,gram,,,False,drug
Outgoing,Cheryl Garrett,Dr. Steven Hutchinson,01/03/2025 00:01,01/03/2025 08:01,paket,,,False,drug
Outgoing,Nathaniel Davis,Rickey Diaz,01/20/2025 05:05,01/20/2025 13:05,see you at mall,,,False,normal
Incoming,Tammy Arnold,Kristin Stevens,01/19/2025 20:07,01/20/2025 04:07,working late,,,False,normal
Outgoing,Felicia Vargas,Robert Daniels,01/22/2025 02:03,01/22/2025 10:03,football match best,,,False,normal
Outgoing,Trevor Wright,Mark Bryan,01/19/2025 01:31,01/19/2025 09:31,see you at mall,,,False,normal
Outgoing,Stephanie Lucas,Shawn Rice,01/20/2025 16:09,01/21/2025 00:09,ok see you tomorrow,,,False,normal
Outgoing,Amy Burke,Angela Duncan,01/14/2025 02:33,01/14/2025 10:33,holiday plan,,,False,normal
Outgoing,Joshua Oconnor,Tyler Jones,01/15/2025 16:35,01/16/2025 00:35,ok see you tomorrow,,,False,normal
Outgoing,Julie Miller,Madeline Velasquez,01/10/2025 04:21,01/10/2025 12:21,assignment siap?,,,False,normal
Incoming,Brian Vaughn,Ryan Reid,01/04/2025 13:38,01/04/2025 21:38,白粉,,,False,drug
Incoming,Heather Jackson DDS,Margaret Collins,01/10/2025 01:11,01/10/2025 09:11,smoke,,,False,drug
Outgoing,Wendy Hawkins,Karen Romero,01/21/2025 22:39,01/22/2025 06:39,how are you?,,,False,normal
Incoming,Richard Martinez,Melanie Wheeler,01/07/2025 14:24,01/07/2025 22:24,paket,,,False,drug
Outgoing,Krista Brown,Lisa Reeves,01/12/2025 04:13,01/12/2025 12:13,lunch break,,,False,normal
Outgoing,Patricia Miller,Jennifer Richardson,01/06/2025 08:29,01/06/2025 16:29,check line,,,False,drug
Outgoing,Daniel Taylor,Sara Gibson,01/11/2025 17:05,01/12/2025 01:05,lunch break,,,False,normal
Outgoing,Jeff Williams,Robert Jimenez,01/20/2025 11:01,01/20/2025 19:01,jalan-jalan,,,False,normal
Incoming,Teresa Wilson,Carlos Ellis,01/10/2025 22:27,01/11/2025 06:27,jom makan,,,False,normal
Outgoing,Margaret Watts,Brittney Vargas,01/13/2025 17:32,01/14/2025 01:32,ok see you tomorrow,,,False,normal
Outgoing,Timothy White,Eric Shields,01/05/2025 03:29,01/05/2025 11:29,货 ready,,,False,drug
Outgoing,Joanna Thompson,Autumn Pope,01/09/2025 04:58,01/09/2025 12:58,ice,,,False,drug
Incoming,Ronald Gonzalez,Lori Johnson,01/16/2025 02:06,01/16/2025 10:06,later go movie,,,False,normal
Incoming,Sean Wilson,George Jones,01/09/2025 15:08,01/09/2025 23:08,syabu,,,False,drug
Incoming,Brittany Stein DDS,Gene Garcia,01/12/2025 03:23,01/12/2025 11:23,see you at mall,,,False,normal
Outgoing,Julie Ward,Lisa Murray,01/03/2025 01:29,01/03/2025 09:29,rehab tak?,,,False,drug
Outgoing,Frank Schneider,Mrs. Haley Campos,01/06/2025 12:15,01/06/2025 20:15,gram,,,False,drug
Outgoing,Andrew Smith,Kevin Richardson,01/20/2025 14:10,01/20/2025 22:10,working late,,,False,normal
Outgoing,Natasha Horton DDS,Dr. Kenneth Evans,01/06/2025 12:10,01/06/2025 20:10,paket,,,False,drug
Outgoing,Dylan Ramirez,George Lamb,01/09/2025 20:06,01/10/2025 04:06,paket,,,False,drug
Outgoing,Dr. Brandi Hernandez,Nathaniel Miller,01/04/2025 08:23,01/04/2025 16:23,one g,,,False,drug
Incoming,Brandon Bean,Anthony Smith,01/17/2025 03:53,01/17/2025 11:53,good night,,,False,normal
Outgoing,Mr. Andrew Garcia III,Billy Thornton,01/01/2025 16:02,01/02/2025 00:02,pil kuda,,,False,drug
Outgoing,Marcus Holder,James Macdonald,01/05/2025 08:40,01/05/2025 16:40,check line,,,False,drug
Incoming,Robert Daniel,Heidi Galvan,01/13/2025 06:58,01/13/2025 14:58,how are you?,,,False,normal
Incoming,Kimberly Barber,Jacqueline Lewis,01/18/2025 18:37,01/19/2025 02:37,ok see you tomorrow,,,False,normal
Incoming,Daniel White,Timothy Thomas,01/14/2025 11:54,01/14/2025 19:54,lunch break,,,False,normal
Incoming,Emily Baker,Benjamin Elliott,01/03/2025 17:24,01/04/2025 01:24,stuff,,,False,drug
Outgoing,Christopher Wagner,Candice Owens MD,01/08/2025 00:05,01/08/2025 08:05,line clear,,,False,drug
Incoming,Jared Sharp,Lawrence Young DDS,01/10/2025 08:14,01/10/2025 16:14,catch up later,,,False,normal
Outgoing,Brad Reid,Erin Bartlett,01/11/2025 17:47,01/12/2025 01:47,family dinner,,,False,normal
Incoming,Michael Weaver,Cody Krueger,01/06/2025 03:24,01/06/2025 11:24,barang ori,,,False,drug
Outgoing,Mr. Brian Gallagher MD,David Franklin,01/15/2025 19:03,01/16/2025 03:03,jalan-jalan,,,False,normal
Outgoing,Sarah Kaiser,Theresa Johnson,01/04/2025 04:55,01/04/2025 12:55,rehab tak?,,,False,drug
Incoming,Laura Morales,Frank Hicks,01/09/2025 08:15,01/09/2025 16:15,syabu,,,False,drug
Incoming,Tracey Smith,Margaret Smith,01/06/2025 17:59,01/07/2025 01:59,rehab tak?,,,False,drug
Outgoing,Mr. Jerry Carroll Jr.,Emily Hensley,01/01/2025 11:37,01/01/2025 19:37,货 ready,,,False,drug
Outgoing,Taylor Booker,Jacqueline Stevenson,01/08/2025 12:23,01/08/2025 20:23,gram,,,False,drug
Incoming,Jason Scott,Bruce Jennings,01/18/2025 07:41,01/18/2025 15:41,good night,,,False,normal
Incoming,James Gonzales,John Bush,01/05/2025 00:18,01/05/2025 08:18,half g,,,False,drug
Incoming,Daniel Silva,Joshua Lamb,01/07/2025 15:47,01/07/2025 23:47,货 ready,,,False,drug
Outgoing,Sarah Miller,Rachel Soto,01/10/2025 17:38,01/11/2025 01:38,good night,,,False,normal
Outgoing,Theresa Cruz,Jonathan Hansen,01/12/2025 01:37,01/12/2025 09:37,later go movie,,,False,normal
Incoming,Craig Lee,Kelly Brock,01/22/2025 06:45,01/22/2025 14:45,see you at mall,,,False,normal
Outgoing,Cynthia Cook,Bonnie Randall,01/20/2025 05:54,01/20/2025 13:54,meeting at 3pm,,,False,normal
Incoming,Kimberly Charles,Kathleen Hamilton,01/08/2025 02:19,01/08/2025 10:19,half g,,,False,drug
Incoming,Samuel Wilson,Kristen Cowan,01/03/2025 05:35,01/03/2025 13:35,syabu,,,False,drug
Incoming,William Lewis,Michelle Smith,01/10/2025 04:06,01/10/2025 12:06,on the way,,,False,normal
Outgoing,Ricky Jackson,Terri Taylor,01/15/2025 08:48,01/15/2025 16:48,football match best,,,False,normal
Incoming,Mr. Andrew Lamb,Steven Williamson,01/20/2025 08:18,01/20/2025 16:18,jalan-jalan,,,False,normal
Outgoing,Willie Mayer,Carol Pham,01/15/2025 11:09,01/15/2025 19:09,later go movie,,,False,normal
Outgoing,Nicole Nicholson,Jason Arnold,01/19/2025 03:24,01/19/2025 11:24,football match best,,,False,normal
Outgoing,Brian Spence,Edward Smith,01/02/2025 03:47,01/02/2025 11:47,ice,,,False,drug
Outgoing,Darrell Gallegos,Sandra Reeves,01/14/2025 09:59,01/14/2025 17:59,holiday plan,,,False,normal
Incoming,Janice Wu,Elizabeth Mcclain,01/12/2025 09:51,01/12/2025 17:51,on the way,,,False,normal
Incoming,Austin Moore,Leslie Davis,01/20/2025 08:19,01/20/2025 16:19,later go movie,,,False,normal
Incoming,Laura Wong,Daniel Williams,01/02/2025 01:57,01/02/2025 09:57,syabu,,,False,drug
Outgoing,Emily Mccoy,Kelly Daniel,01/20/2025 00:49,01/20/2025 08:49,shopping,,,False,normal
Incoming,Elaine Moore,Cheryl Davis,01/04/2025 03:22,01/04/2025 11:22,line clear,,,False,drug
Incoming,Evan Glover,Jamie Heath,01/09/2025 01:10,01/09/2025 09:10,smoke,,,False,drug
Incoming,Sandra Barber MD,Joshua Marshall,01/18/2025 02:55,01/18/2025 10:55,meeting at 3pm,,,False,normal
Incoming,Derrick Bell,Stephanie Sanchez,01/14/2025 21:49,01/15/2025 05:49,jalan-jalan,,,False,normal
Incoming,Jacob Roth,Patricia Davis,01/10/2025 13:45,01/10/2025 21:45,exam coming soon,,,False,normal
Outgoing,Sarah Ramos,Jeffrey Burch,01/20/2025 14:51,01/20/2025 22:51,later go movie,,,False,normal
Outgoing,Daniel Harper,Steven Banks,01/03/2025 11:02,01/03/2025 19:02,冰毒,,,False,drug
Outgoing,Stephanie Richardson,John James,01/07/2025 20:39,01/08/2025 04:39,budak hantar,,,False,drug
Incoming,Jeffrey Galvan,Daniel Chambers,01/01/2025 19:29,01/02/2025 03:29,half g,,,False,drug
Outgoing,James Butler,Courtney Price,01/04/2025 20:55,01/05/2025 04:55,port biasa,,,False,drug
Outgoing,Shannon Hubbard,Heather Anderson,01/21/2025 02:49,01/21/2025 10:49,lunch break,,,False,normal
Outgoing,Barbara Farmer,Cristina Fields,01/15/2025 00:56,01/15/2025 08:56,holiday plan,,,False,normal
Incoming,Brenda Clark,Anthony Brown,01/15/2025 19:51,01/16/2025 03:51,good night,,,False,normal
Outgoing,John Roy,Garrett Morris,01/18/2025 23:05,01/19/2025 07:05,see you at mall,,,False,normal
Incoming,Angela Bell,Brittany Shelton,01/01/2025 19:06,01/02/2025 03:06,stuff,,,False,drug
Outgoing,Samantha Joseph,Eric Higgins,01/13/2025 11:39,01/13/2025 19:39,jalan-jalan,,,False,normal
Outgoing,John Collins,Sarah Carlson,01/15/2025 18:45,01/16/2025 02:45,holiday plan,,,False,normal
Incoming,Brian Walker,Kathy Hayes,01/01/2025 09:36,01/01/2025 17:36,ambil barang,,,False,drug
Outgoing,Vanessa Griffin,Tammy Reed,01/10/2025 02:12,01/10/2025 10:12,paket,,,False,drug
Incoming,Danielle Morton,Morgan Henson,01/11/2025 08:07,01/11/2025 16:07,game tonight,,,False,normal
Incoming,Kevin Jones,Cynthia Madden,01/03/2025 20:15,01/04/2025 04:15,货 ada,,,False,drug
Incoming,Mr. Ronald Ramirez,Eugene Smith,01/21/2025 03:06,01/21/2025 11:06,jom makan,,,False,normal
Incoming,Albert Hardy,Cynthia White,01/18/2025 17:01,01/19/2025 01:01,jalan-jalan,,,False,normal
Incoming,Edward Turner,Tina Ramirez,01/16/2025 09:33,01/16/2025 17:33,working late,,,False,normal
Outgoing,Andrew Phillips,Elizabeth Salazar,01/08/2025 12:14,01/08/2025 20:14,ambil barang,,,False,drug
